Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-17T21:22:41.154Z","","","Included","cursor-grok-4.6-high-fast","No","0","102956","375168","17167","495291","Included"
"2026-08-17T21:11:08.904Z","","","Included","cursor-grok-4.5-high-fast","No","0","1122","153216","209","154547","Included"
"2026-08-17T21:09:56.879Z","","","Included","cursor-grok-4.5-high-fast","No","0","7288","806912","1752","815952","Included"
"2026-08-17T21:08:00.463Z","","","Included","cursor-grok-4.5-high-fast","No","0","33423","350464","13453","397340","Included"
"2026-08-17T21:07:45.228Z","","","Included","cursor-grok-4.5-high-fast","No","0","63012","75392","908","139312","Included"
"2026-08-17T21:01:31.547Z","","","Included","cursor-grok-4.6-high-fast","No","0","128276","247296","5725","381297","Included"
"2026-08-17T15:51:32.694Z","","","Included","cursor-grok-4.5-high-fast","No","0","16942","66816","1393","85151","Included"
"2026-08-17T15:51:26.749Z","","","Included","cursor-grok-4.5-high-fast","No","0","1355","237056","495","238906","Included"
"2026-08-17T15:47:42.298Z","","","Included","cursor-grok-4.5-high-fast","No","0","13432","84736","2204","100372","Included"
"2026-08-17T15:47:09.187Z","","","Included","cursor-grok-4.5-high-fast","No","0","117210","467712","1665","586587","Included"
"2026-08-17T15:21:15.070Z","","","Included","cursor-grok-4.5-high-fast","No","0","57561","186240","3441","247242","Included"
"2026-08-17T15:21:02.880Z","","","Included","cursor-grok-4.5-high-fast","No","0","7175","331136","3046","341357","Included"
"2026-08-17T15:14:37.422Z","","","Included","cursor-grok-4.5-high-fast","No","0","16623","597760","7404","621787","Included"
"2026-08-17T14:54:20.914Z","","","Included","cursor-grok-4.5-high-fast","No","0","81398","367488","3546","452432","Included"
"2026-08-17T14:22:48.298Z","","","Included","cursor-grok-4.6-high-fast","No","0","46704","152832","3842","203378","Included"
"2026-08-17T14:00:23.775Z","","","Included","cursor-grok-4.6-high-fast","No","0","47320","1474176","13305","1534801","Included"
"2026-08-17T13:59:26.258Z","","","Included","cursor-grok-4.6-high-fast","No","0","505","219264","110","219879","Included"
"2026-08-17T13:59:12.622Z","","","Included","cursor-grok-4.6-high-fast","No","0","1066","437248","365","438679","Included"
"2026-08-17T13:50:13.391Z","","","Included","cursor-grok-4.5-high-fast","No","0","2385","259328","873","262586","Included"
"2026-08-17T13:46:45.060Z","","","Included","cursor-grok-4.5-high-fast","No","0","4085","417280","1482","422847","Included"
"2026-08-17T13:44:16.147Z","","","Included","cursor-grok-4.6-high-fast","No","0","21428","1889536","10040","1921004","Included"
"2026-08-17T13:36:07.783Z","","","Included","cursor-grok-4.5-high-fast","No","0","79704","164864","510","245078","Included"
